Algorithm,Accuracy,Precision,Sensitivity,Specificity,F1 Score
10-10 Standard (10 épocas),"0,9867805061","0,9901016921","0,9923687632","0,9700033834","0,9912192113"
10-20 Standard (10 épocas),"0,9917624521","0,9966796985","0,9924100865","0,989903285","0,9944998181"
10-10-10 Standard (10 épocas),"0,9898463756","0,9939141435","0,9926171714","0,9814026109","0,9932516161"
10-10-20 Standard (10 épocas),"0,9894636015","0,9964190011","0,9895659454","0,9889199588","0,9929090835"
10-20-20 Standard (10 épocas),"0,9875478927","0,992147561","0,9914232183","0,9760916731","0,9917338526"
10-50-10 Standard (10 épocas),"0,9833248763","0,9868577373","0,9912850624","0,9601307116","0,9889061957"
10-10-50 Standard (10 épocas),"0,9885053794","0,9961188418","0,9885953378","0,9884107477","0,9922888986"
10-50-50 Standard (10 épocas),"0,9846743295","0,985805264","0,9941589679","0,9576850101","0,9898539905"
10 Standard (50 épocas),"0,9883086608","0,9956175763","0,9887707813","0,9868670172","0,9921716446"
10-100 Standard (50 épocas),"0,984097043","0,9898919426","0,9887890331","0,9705933262","0,9892826579"
10-100-100 Standard (50 épocas),"0,9898423309","0,9930107483","0,9934314629","0,9798350241","0,9931995587"
10-10 Standard (50 épocas),"0,9927188357","0,9943823636","0,9959340216","0,983141783","0,9951559078"
10-20 Standard (50 épocas),"0,9890797244","0,9966030024","0,9888782143","0,9901916071","0,9926204444"
10-10-10 Standard (50 épocas),"0,9888841088","0,9940880143","0,9910966694","0,9824936217","0,9925609724"
10-10-20 Standard (50 épocas),"0,9915701458","0,9964125989","0,9923972438","0,9890321563","0,9943919374"
10-20-20 Standard (50 épocas),"0,9896540693","0,9948525562","0,9913721183","0,984719437","0,9930873002"
10-50-10 Standard (50 épocas),"0,990036108","0,9945933893","0,9920880465","0,9841019258","0,9933242957"
10-10-50 Standard (50 épocas),"0,9902284143","0,9951106618","0,9918259097","0,9856492086","0,99344683"
10-50-50 Standard (50 épocas),"0,9931023452","0,996418941","0,9944262828","0,989128222","0,9954131189"
10 Standard (100 épocas),"0,9896518631","0,9951179823","0,9910787475","0,9853500565","0,9930889199"
10-100 Standard (100 épocas),"0,9894602922","0,9910270912","0,9949421438","0,9738470409","0,9929539213"
10-100-100 Standard (100 épocas),"0,9886940087","0,9930816052","0,9918577413","0,9792344479","0,9924633368"
10-10 Standard (100 épocas),"0,9927203065","0,9954229708","0,9949516017","0,9858659978","0,9951838343"
10-20 Standard (100 épocas),"0,9877368897","0,992862347","0,9908146534","0,9785242303","0,9918130244"
10-10-10 Standard (100 épocas),"0,9921455939","0,995155638","0,9944393682","0,9852415531","0,994786932"
10-10-20 Standard (100 épocas),"0,9919507137","0,9938244211","0,995459239","0,9819369348","0,9946254919"
10-20-20 Standard (100 épocas),"0,9925283679","0,9959169628","0,9941729915","0,9874780625","0,9950397796"
10-50-10 Standard (100 épocas),"0,9892705599","0,9946300474","0,9910892264","0,9837483979","0,9928451631"
10-10-50 Standard (100 épocas),"0,9896525985","0,9943381606","0,9918683446","0,9831118144","0,993094023"
10-50-50 Standard (100 épocas),"0,9906104529","0,9930997033","0,9944369552","0,9792403472","0,9937586421"
"C= 0,001 SVM Without","0,9608912275","0,9734784687","0,9739430805","0,9229389002","0,9736847982"
"C= 0,01 SVM Without","0,9608912275","0,9734784687","0,9739430805","0,9229389002","0,9736847982"
"C= 0,1 SVM Without","0,9608912275","0,9734784687","0,9739430805","0,9229389002","0,9736847982"
"C= 1,0 SVM Without","0,9608912275","0,9734784687","0,9739430805","0,9229389002","0,9736847982"
"C= 10,0 SVM Without","0,9608912275","0,9734784687","0,9739430805","0,9229389002","0,9736847982"
"C= 100,0 SVM Without","0,9608912275","0,9734784687","0,9739430805","0,9229389002","0,9736847982"
"C= 0,001 SVM Normal","0,9635702782","0,9726214554","0,9786359031","0,9202841489","0,9755625013"
"C= 0,01 SVM Normal","0,9652962546","0,9751093341","0,9784259783","0,9277419002","0,9767026795"
"C= 0,1 SVM Normal","0,963186401","0,9745257376","0,9760846447","0,9264939678","0,975235173"
"C= 1,0 SVM Normal","0,9618446695","0,9742126344","0,9745252581","0,9259932424","0,9743022046"
"C= 10,0 SVM Normal","0,9616530986","0,9739678688","0,9745252581","0,9252686047","0,974176813"
"C= 100,0 SVM Normal","0,9616530986","0,9739678688","0,9745252581","0,9252686047","0,974176813"
"C= 0,001 SVM Standard","0,9583949228","0,9706304391","0,9734684689","0,9151881772","0,9720188872"
"C= 0,01 SVM Standard","0,9560960722","0,9719870487","0,9688375298","0,919977386","0,9703764627"
"C= 0,1 SVM Standard","0,9536038123","0,9709179672","0,9665359413","0,9170120112","0,9686840558"
"C= 1,0 SVM Standard","0,9536034446","0,971160606","0,9662827767","0,9177994128","0,9686759522"
"C= 10,0 SVM Standard","0,9536034446","0,971160606","0,9662827767","0,9177994128","0,9686759522"
"C= 100,0 SVM Standard","0,9536034446","0,971160606","0,9662827767","0,9177994128","0,9686759522"
